N. Attribuito,NÂ° CES,Tipo Macchina,Matricola,Variazioni,Data
1,420,PFAFF Rasafilo,1274499,,
2,423,PFAFF Rasafilo,348191,,
3,477,PRESSA,267.01/2011,,
4,417,PFAFF Rasafilo,1311500,,
5,416,PFAFF Rasafilo,449953,,
6,411,PFAFF Rasafilo,1441971,,
7,180,SIRUBA,5294722,,
8,181,SIRUBA,5294721,,
9,182,JUKI ,DPLXF43827,,
10,183,SIRUBA,5294692,,
11,415,PFAFF Rasafilo,1416531,,
12,388,PFAFF Lineare,900/01/BS,,
13,414,PFAFF Rasafilo,1452334,,
14,412,PFAFF Rasafilo,1488802,,
15,410,PFAFF Rasafilo,1420864,,
16,413,PFAFF Rasafilo,1511359,,
17,188,JUKI Zig Zag,17536,,
18,191,NECCHI zig zag,7500001746,rottamata,Febb.2017
19,192,MAUSER taglia cuci,9600319,,
20,193,RIMOLDI taglia cuci,217661,,
21,195,NECCHI taglia cuci,7688397,,
22,194,JUKI tagla cuci,MOOXC16778,,
23,342,JUKI cuci elastico,FS332ER-3D64MD1TC4,,
24,185,PFAFF Rasafilo,1590778,,
25,197,SIRUBA,7387534,,
26,198,SIRUBA,7587532,,
27,199,SIRUBA,7387637,,
28,200,SIRUBA,7386971,,
29,201,SIRUBA,7387692,,
30,202,SIRUBA,7389021,,
31,203,SIRUBA,7387799,,
32,204,SIRUBA,7387865,,
33,205,SIRUBA,7387507,,
34,206,SIRUBA,7387527,,
35,207,SIRUBA,7387694,,
36,208,SIRUBA,7387311,,
37,209,SIRUBA,7387730,,
38,210,SIRUBA,7387579,,
39,211,SIRUBA rasafilo,3326331,,
40,212,SIRUBA,7387513,,
41,213,SIRUBA,7387786,,
42,,,,,
43,,,,,
59,421,PFAFF Rasafilo,272403,,
60,424,PFAFF Rasafilo,1337760,,
67,419,PFAFF Rasafilo,490559,,
86,175,PFAFF Rasafilo,205798,,
87,176,PFAFF Rasafilo,1466339,,
88,177,PFAFF Rasafilo,1474226,,
89,178,PFAFF Rasafilo,283194,,
90,418,PFAFF Rasafilo,487847,,
91,179,PFAFF Rasafilo,1445725,,
92,184,PFAFF Rasafilo,1587591,,
93,,,,,
94,186,PFAFF Rasafilo,1405110,,
95,187,PFAFF Rasafilo,318623,,
96,297,PFAFF Rasafilo,1485990,,
97,296,PFAFF Rasafilo,1419145,resa o rottamata,ott-17
98,141,PFAFF Rasafilo,304-160,,
99,,,,,
100,174,PFAFF Rasafilo,1470921,,
101,299,PFAFF Rasafilo,391488,,
102,196,PFAFF Rasafilo,1466357,,
103,190,PFAFF Rasafilo,1464679,,
104,477,JUKI 3614,M00BC33148,,
105,332,BROTHER 814,32582296,,
106,342,RIMOLDI F 71,1506552,,
107,333,RIMOLDI 263-16,524223,,
108,189,JUKI RASAFILO,F32091,,
109,422,PFAFF Rasafilo,1302884,,
110,425,Tensionatore RAM,,,
111,214,Tensionatore Rimoldi,,,
112,,JUKI ,2L2WCO1518,,
113,,JUKI Taglia/cuci,RM0JL06384,,
114,,Tensionatore RAM,214643,,
115,,Tensionatore RAM,214691,,
116,,RIMOLDI,429434,,
117,,JUKI non rasafilo ,4D0KL07896 ,,
118,,Juki DDL 8700,4D0LE04378,,
119,,Juki DDL 8701,4D0LG05363,,
120,,,,,
